,very good,,really good,
,"I feel like I bought a second-hand mobile phone, and the fingerprints are not very sensitive. Watching TV, it was obviously suspended, and I continued to put it on my own! After exiting the program, close the background running before completely shutting down! It's been four or five days, can I return it? depressed",,Giveaways are all scams. No charger. No giveaway yet. Then the phone also has a color screen. Bad shopping experience. very upset,
,"The mobile phone is well packaged and not damaged, the logistics is also fast, the mobile phone looks beautiful, the style is good, the quality is very good, the genuine product, the workmanship is exquisite, the screen is fine and large enough, the color saturation is very good, the camera is good, very beautiful, and the sound quality is also very good Great, the system has powerful functions, runs very fast, very powerful for watching movies and listening to music, very enjoyable, simple operation, enough memory, overall very satisfied",,"There are some bugs in upgrading to Hongmeng system, looking forward to the improvement and update of Huawei's subsequent system",
,"The phone feels very good, and the secret silver looks very good. The Hongmeng system is safe and reliable, and the security of privacy is guaranteed. Use it with confidence! Very smooth and silky, the sound is very shocking, the screen display is delicate and bright, and the mobile phone camera is very clear and can take pictures of places I can't see. Photo effect: The mobile phone can take pictures where I can't see clearly, and the pictures are beautiful. The screen sound effect: very shocking No leakage, very safe to use Running speed: smooth",,"The actual use effect is much better than other brands of mobile phones. Next time, continue to buy and buy.",
,"I've been using it for a few days, and it feels pretty good, but it takes a few days to get used to the curved screen",,"Very good, the curved screen adapts",
,new year gift for wife,,"Say something, it's useful",
,"I got the phone, take it apart, it looks and feels very good, satisfied and praised",,"It feels good in the hand, and the response is fast enough",
,support domestic products. I still buy it after a year. The last mobile phone was Huawei mate20pro.,,"Huawei Kirin chip is good, come on domestic! Come on China",
,"Support domestic production, come on Huawei! Photo effect: The mobile phone can take pictures where I can't see clearly, and the pictures are beautiful. Screen sound effect: Kirin Liyin is very shocking. Security, privacy is not leaked, it is very safe to use. Speed: smooth",,"Support domestic production, come on Huawei! Photo effect: The mobile phone can take pictures where I can't see clearly, and the pictures are beautiful. Screen sound effect: Kirin Liyin is very shocking. Security, privacy is not leaked, it is very safe to use. Speed: smooth",
,"authentic, buy with confidence",,"Authentic, Jingdong Express is also fast",
,"Very good, Jingdong is great, Huawei is great",,"Very smooth, a lot more optimized than 30",
,"1.11/9 Arrived from JD.com, because I replaced the old P30 Pro with a new Mate40 Pro. The delivery efficiency of the Aihuishou personnel is very low. I have always said that if I am in a hurry, I will go to the Aihuishou service point to pick up the goods myself. No home delivery after get off work. I couldn't pick it up during working hours, so I had to wait for them to deliver it to me during working hours on weekends. I had to wait for about five days. 2. It has only been a month since I got the new phone. I don¡¯t know if I didn¡¯t check it carefully when I got the new phone. Today, I suddenly found a pink vertical line at the bend of the curved screen on the right side of the screen. After shutting down and restarting It still exists, because I am in the IT product industry, and this is definitely a screen hardware problem. It's really chilling for Huawei to see such a thing after a flagship model has been used for less than a month.",,"1. I know that it will be a bit more troublesome to trade in the old machine when it comes to the evaluation process of the old machine. What I mean is that when the new machine arrives, the Aihuishou staff just delayed one after the new machine arrived. It was sent to me only a week ago. 2. I am engaged in the research and development of mobile phone products. I said that the display problem is a failure of the screen display hardware. Don't use your FAQ to prevaricate me. You also restarted and tried to zoom in on the screenshots. I am really speechless.",
," Appearance: The shape feels very smooth Screen sound effect: The sound effect is great, the bass effect is great Running speed: The operation is very smooth",,"The operation is very smooth, the battery is very resistant, the signal is excellent",
,"Beautiful appearance, smooth operation, super fast speed without lag, fingerprint unlocking, face recognition, it is very convenient to automatically unlock when you pick up the front camera of the mobile phone, the non-charging version can also be used with the previous Huawei charger, or buy an original one 66W super fast charge, the power down is a bit fast, the picture clarity and color seem to be inferior to my original sister 10",,"The mobile phone will get hot after fast charging with Huawei 66W. I wonder if everyone has this phenomenon? Also, the screen film is very easy to damage, and the new machine was used carefully when it was bought, but the air bubbles burst at some point.",
,"Goods received, good quality",,"Arrived, very good product, worth buying",
,Reliable and easy to use,,"After staring for a long time, finally started",
,"Why isn't the mobile phone that just arrived today the latest version of Hongmeng OS? It's still Android, and I don't know if it's a refurbished machine. The logistics is really fast.",,"I don't know if it's a refurbished phone, not the latest version of the phone, or the Android system. The experience is very poor.",
,Huawei's products are still as good as ever,,The green on both sides is a bit serious,
,"Very good mobile phone functions, high-end goods, I like it very much",,Huawei phones are still as good as ever,
,"I always believed in Huawei and supported Huawei. This purchase broke my heart. After I bought it, I realized that the screen is different. It is a mix of three manufacturers. Why does Huawei do this? Please buy carefully! plan to love apple 13",,get angry when I look at the serious green border of the screen,
,"Fast delivery, good quality, like",,"Good quality, fast delivery, like",
,"I ordered a 5G uncharged version, but I didn't pay attention when I received the goods. After installing the activation, I realized that the 4G version was sent to me. . . OK, then call customer service. After half an hour of robot reply, I finally found a person to reply, and then I just registered and submitted it to help you. . What. . Reflected routines. Such customer service. . . I never give bad reviews when I buy things, this time I have to say bad things",,Is it clear now? Do you still need proof? The order placed and received are clear.,
,A frantic shopping. Disappointed with JD Logistics for the first time,,"Green screen, dark screen. Not as good as mate20p",
,"The earphones that I bring can't be used, and the experience is not good",,"Wired earphones are C port. Additional evaluation, good phone. To support Huawei, patriotism does not need a reason",
,"It was replaced from Huawei nova5Pro, and it was popular with Hongmeng system. Before I used two generations of Apple mobile phones for 6 years, the charging and battery life signals of Huawei nova5Pro killed Apple in seconds. I don¡¯t play games, so I can¡¯t feel the difference between the systems. , but the system operation is enough, I really like Huawei! I was originally looking at the P50Pro. # I changed the 5G network so I couldn¡¯t use it. I chose the mate40Pro for a month. Let¡¯s review the use effect again, come on Huawei",,"Taking pictures: The night scene is very powerful, and the scenery is also very beautiful. The color of the characters is very psychedelic. It's easy to use, but I don't know why the fruit powder in the office despised it and said it was a copycat, I just like Huawei.",
,"Running speed: too slow, crap, crashes at every turn, and not new",,Don't buy it. I'd rather go to a physical store to buy it than online. It's expensive and there's no good stuff.,
," very nice, very nice like very nice, very nice like the look: very nice, very nice like",,"very nice, very very nice",
,"This is the worst shopping experience in JD. If I hadn't bought an annual card membership, I would never buy anything on JD again. I placed an order for a Huawei mobile phone one night, and the estimated delivery time is the next day. As a result, in the evening of the second day, I found that the goods had not been delivered. I contacted customer service. The customer service said that it was delivered by the store. It may be late, but it will definitely be delivered on the third day. I also confirmed that it could be delivered on the third day. As a result, I was sent to the wrong site on the third day and sent the item to another place. I found the problem at noon on the third day and kept contacting the customer service. The customer service asked me to wait for the specialist to deal with it. I I had to go to work at 1:30 p.m. with three phone customer service personnel, but the commissioner called me at 2:01 p.m., but I couldn¡¯t get through, and then no one solved it. It will be delivered by the morning of the fourth day. What makes me angry is that no customer service has actively solved this matter. After I complained on the 12315 website and the official website of Postal Logistics that night, I have been receiving customer service calls on the fifth day to understand the situation. If there is a customer service solution at noon on the fourth day, it will not be a problem. I couldn¡¯t deliver it. The final customer service solution was to compensate Jingdou for 50 yuan. I didn¡¯t accept it. Then the customer service closed the inquiry form and didn¡¯t solve it. But if I don't change my attitude, you can complain if you complain. If you don't accept it, I won't solve it. The appearance of love really chills the heart of an old JD customer who has been shopping on JD since college. Give back to old customers",,"In addition, when I bought it, it said that it was a gift for a mobile phone card, but it has not been shipped. When I clicked it, it said that the main product was shipped after receiving the goods. I have used the mobile phone for half a month and have not seen the gift. The promise that cannot be fulfilled is the best. Don't promote it, it's ridiculous that you can't do it",
,"I just received the phone number, why is it not the same as my card number, there is a little damage",,Jingdong buys fakes,
,"No matter how Huawei develops in the future, it is lucky to be able to use the 5g version of the mate40pro during this special period. Thanks to JD.com's self-operated flagship store, I wish Huawei Phoenix Nirvana and create greater glories in the near future",,"bought it on Double Twelve. Although this configuration is no longer the best in this year's market, the overall performance is still satisfactory. After all, Huawei still has its own advantages in terms of technology in domestic mobile phones. The mate9 bought in 2016 is used It has been 5 years, except that the configuration is relatively outdated now, there is still no major problem in basic daily use, and the battery performance has also maintained good. After upgrading the Hongmeng system, I planned to use it for another year before replacing it with a new one, but I saw that the 5gmate40Pro was in stock in the self-operated flagship store, and I decided to place an order. Because next year may not be able to buy the 5g version of the flagship machine.",
,"I finally bought the phone that I was thinking about, but unfortunately it didn¡¯t come with a charging cable. I have a wired headset. I have used it for more than a week. I haven¡¯t updated the Hongmeng system, and I haven¡¯t installed much software. It runs very smoothly, and the green edge actually doesn¡¯t affect the use. , from a certain angle, it looks conspicuous. The photo effect is super good, the disadvantage: the battery life is not very good",,"I really like it more and more, haha",
,"Express packaging is a small carton box. This is the first time I bought a Huawei mobile phone. I received it this afternoon and tried it out. After watching it for more than ten minutes, I was dazzled, my eyes were sore, and my dizziness was terrible. I really can't get used to this screen.",,"What the hell is this, this is the first time I encountered this situation today. This is an ultra-wide-angle video lens",
,"The screen has a green edge, which is very serious. The customer service reply was fast before I bought it. If there is a problem after I bought it, I contacted the customer service, but the customer service did not reply. I suggest you not to buy it. Bad review",,"The store service is not good, and the Jingdong customer service is not good either, buy carefully",
,"The phone is very good? Just after I bought it, I went to the physical store to see that they were two hundred cheaper? I have a little pimple in my heart",,What about the 30-day warranty? dropped another two hundred,
,"There are so many mobile phones, I have been looking for thousands of them, and I have found the ""JD.com official website"", haha, to buy a mobile phone in Guangzhou, I have to wait to go to the ""XX store"" in small Huizhou to get the goods. It's ironic. In the past, we bought mobile phones directly from JD.com. It will arrive in a few hours from the Jingdong warehouse. Now it¡¯s two days. It¡¯s not a matter of time, but ¡°Jingdong self-operated¡± is to help merchants sell mobile phones. Dare to imagine, but clearly see Jingdong in Waterloo",,"The color is super light. It used to be shipped directly from JD.com warehouse. Now I get the goods from a store in Huizhou. JD.com is not self-operated by JD.com. JD.com has always been my most trusted shopping platform. If you lose your confidence, there will be no pure land. It's really sad.",
,"Very angry shopping experience, Jingdong's service is too bad, ready to file 12315 consumer complaints, first received the mobile phone unpacked and looks good, after turning on the screen, both sides of the screen turn green seriously, after the card is activated and used for 3 to 5 days, check during the period The electronic warranty card has expired, and I have repeatedly checked with Huawei JD.com customer service, Huawei official phone customer service, and Huawei authorized physical stores. Finally, multiple parties have checked that the electronic warranty card has expired, that is, the newly purchased mobile phone cannot provide the three-guarantee service. I wanted to directly 12315 Consumers Association complained. After negotiating with Huawei customer service of JD.com, JD.com agreed to send it back to ¡°re-test¡± after the sale to confirm that there is no warranty and the screen is green, and then agreed to exchange the goods, but the JD.com said on the phone that it would not guarantee replacement. If the electronic warranty and quality problems cannot be found again after the machine (the recording and related evidence are preserved throughout the whole process), if the purchase of a new machine is still not found and the three-guarantee service is not provided, I will directly appeal. Now, due to the reason that there is no stock in my area, the new machine for replacement has not been issued for a long time, and the specific delivery date has not been given. After I checked other areas and showed that the goods were available, you can completely dispatch the goods from other areas. After contacting you for a few days, the exact delivery date has not been given, and the replacement order has been displayed waiting for the system to confirm? ? ? If I cannot give a reasonable reply, I will take legal procedures",,"This assessment is based on my personal experience, and there is absolutely no falsehood. The domestic Huawei has a good name and feelings. I want to support you. I didn't expect you to provide such a service. It's really sad. I advise you to be cautious when buying. Please defend your rights in time",
,"I received the goods, and I upgraded the Hongmeng system immediately. Maybe I haven't used a system other than IOS for many years. I feel full of novelty. The experience of the Android system, so there is no comparison. In fact, I really don't want to buy mate40PRO, because I don't like this capsule punching hole, I think it affects my viewing, but the standard version can't be grabbed, and I don't want to condone scalpers, so I bought a Pro in April. , I also brought a charger at that time. I bought it for the summer Populus euphratica, which is not easy to match, and I was used to using Apple, so I returned it. But after using the 12mini for a period of time, I was caught by the big ""bangs"", and I can't regret it, this time I chose to pay for ""feelings""",,"Started mate40pro 5G version for three months, overall evaluation: very satisfied. The Apple I used before, the IOS system was too closed, so I switched to Hongmeng for free prostitution. The new phone is not difficult to get started, the system runs smoothly without lag, and there is an application clone that supports both WeChat and QQ, which is very considerate. I usually use my mobile phone to read e-books, and sometimes I go shopping on JD.com, **, play Xiaoxiao Le or something. I have never played a large-scale mobile game, and I don¡¯t know if it is the APP or the system. The power consumption is very fast, and it is charged three times a day. , Compared with the fruit machine, the battery has no obvious advantage. Buying a 66w fast charging head can prolong the battery life. I also looked at other people's additional comments, and the comments were mixed. I feel it is okay. If I can use it smoothly for five years, I will continue to add more.",
,The front camera of the phone goes black after a while,,"Can't you see the flashback? Click to change the front camera and you can't see it without response, right?",
,"It was an accidental opportunity to grab the 5G version of mate40Pro Summer Populus euphratica. I have been following it on the JD.com self-operated store. Suddenly, I was surprised when I saw it was in stock. It is waiting for the supplier to purchase, and the customer service response needs to be delivered before the goods arrive. I feel happy! When I got home at night, it actually showed that it was delivered. I didn¡¯t believe it. After calling the customer service phone, I calmed down... The next step is to wait for the goods, receive the goods, unpack the test, and clone the phone... In short, a very good shopping experience, Give Jingdong a like",,"It was an accidental opportunity to grab the 5G version of mate40Pro Summer Populus euphratica. I have been following it on the JD.com self-operated store. Suddenly, I was surprised when I saw it was in stock. It is waiting for the supplier to purchase, and the customer service response needs to be delivered before the goods arrive. I feel happy! When I got home at night, it actually showed that it was delivered. I didn¡¯t believe it. After calling the customer service phone, I calmed down... The next step is to wait for the goods, receive the goods, unpack the test, and clone the phone... In short, a very good shopping experience, Give Jingdong a like",
,"Baby has received, powerful function, no green edge, support Jingdong support Huawei",,using leverage,
,"Brothers who like to play games, mind not to buy a card so that you suspect that life is not as good as my previous p30, and the battery life is not particularly ideal, occasionally flashback occurs, the overall effect is ok",,"You are selling a refurbished phone, right? Let¡¯s not talk about the big green edge. The newly bought mobile phone is stuck in batches. , the worst time shopping on Jingdong so far disappointed me, rubbish rubbish rubbish! ! ! I should have listened to other people's opinions and returned it before, and will never buy a Huawei mobile phone again.",
,"Unscrupulous merchants, don't be fooled, ** run away without giving money, this kind of shop should be blocked, how can the Jingdong platform produce such ** and hurt the trust of the people",,"business, deceiving consumers",
,"7,000 yuan is just such a broken package. Let¡¯s not say that the customer service service is really excellent. I bought this mobile phone on JD.com or it was graded, and then called me after the sale and said that I have never used Huawei mobile phones. Now high-end phones are like this? ? ? I just bought this mobile phone on Jingdong. I can still consult other mobile phones. I asked very clearly, and the customer service also told me very clearly that this mobile phone has grades. I am really drunk. I haven't bought another mobile phone, how can I consult other mobile phones? It's not polite to pass the buck, I vomited",,I am speechless too,
,"The phone arrived a few days ago, and it became hot after using it for a while. It took ten minutes to shut down and restart, and it was still stuck to death when it was turned on.",,The phone doesn't feel very good. Sometimes I get stuck and I need to log out to use it normally. The calendar that comes with this phone is really rubbish. I hope it can be improved.,
,"have been paying attention to 40 injury 40 since May this year, but I haven't been able to grab it. Double 12 is finally in stock. Although I don't have the summer Populus euphratica that I like, I bought the Populus euphratica shell and went to the mobile phone post bar to show it off. I didn't expect so many. I don't know why people criticize me when I buy a mobile phone I like",,"I have been using it for a week, and it is the most eye-catching focus wherever I hold it in my hand. I have a video with my classmates on the road. I have never held it in my hand on the road. I have never been so eye-catching. I love Huawei so much.",
,"This is the worst time to buy a mobile phone on Jingdong. Now Jingdong also has fakes. The mobile phone has been unpacked and used. It looks like second-hand goods. The mobile phone box is rotten. I don¡¯t know how Jingdong handles it. Well, how can I still trust such a business",,"I hope JD.com's proprietors can give an explanation, is this a new phone?",
,"have been using the first generation mate8 for more than four years, and I have always liked it very much. Out of my feelings, I bought this mate40pro and was disappointed. The main reason is that this screen is seriously downgraded, and the green screen can be tolerated. The color temperature and the severe frosted feeling make the eyes tired after ten minutes of watching. The 2000 yuan Xiaomi and OPPO are better than this. I really don¡¯t understand Huawei. Why use this rubbish screen to ruin your reputation",,"It has been used for a period of time, the function is indeed very powerful, the sound quality is also good, but there are many flaws, 1. The screen is too poor, the green edge is frosted; 2. The camera is not as good as the old mate8 in other aspects such as the ability to shoot far away. ;3. The curved screen is not very convenient to hold in hand, and almost slipped off the ground several times.",
,The mobile phone received the package and opened it. It is not damaged and it is very beautiful,,The phone has been used for almost half a month. The response speed of the phone is super fast. The charging speed is fast. It is usually fully charged for an hour.,
,"finally got the Huawei mate40pro5g I was thinking of, and the moment I opened the box was simply beautiful! At this difficult time, Huawei bought four of the same model during the event, and replaced one for everyone in the family. Populus euphratica will not die, and Kirin will not decide. I firmly believe that Huawei will return to the king.",,"Replacing the original Honor v20, the same Hongmeng system is easy to use, with strong signal, powerful photo taking, fast charging, smooth and smooth operation thousands of times better than a certain mobile phone, come on Huawei! Huawei must win",
